split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
test,1,330867,5627,0.0170068335615217,0.016418244774867898,1.0358496778872965,0.0005885887866538021,1.0000000116860974e-7,0.0204987321048975
test,2,330866,8215,0.02482878264916915,0.0247137167173008,1.0046559541482403,0.00011506593186835085,0.0204987321048975,0.02854340337216854
test,3,330867,10210,0.030858320714970064,0.03146790669167223,0.9806283276903357,0.0006095859767021664,0.02854340337216854,0.03396394103765488
test,4,330866,12456,0.03764666058162519,0.037049108162046006,1.0161286586701521,0.0005975524195791851,0.03396394103765488,0.04007438197731972
test,5,330867,14370,0.04343134854790596,0.04349053364935684,0.9986391268056617,0.00005918510145087874,0.04007438197731972,0.046116579324007034
test,6,330866,16369,0.04947320063107119,0.04914881312515639,1.0066001086351517,0.00032438750591479854,0.046116579324007034,0.05249343812465668
test,7,330867,18407,0.05563262579828149,0.05645997323134958,0.985346301357991,0.0008273474330680944,0.05249343812465668,0.06041138246655464
test,8,330866,21105,0.06378715250282592,0.06546133225838932,0.9744249055464519,0.0016741797555634014,0.06041138246655464,0.06953504681587219
test,9,330867,24919,0.0753142501367619,0.07771497460060539,0.9691085987458486,0.0024007244638434844,0.06953504681587219,0.08672517538070679
test,10,330866,34812,0.10521479994922416,0.10850397395141369,0.9696861425217258,0.003289174002189532,0.08672517538070679,0.4000000059604645
