split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,5197,0.016069584361452786,0.01229765331534006,1.3067195788815764,0.0037719310461127257,0.0004792622639797628,0.01774268038570881
val,2,323405,7705,0.023824616193317976,0.021655681256411437,1.1001554701154646,0.0021689349369065393,0.017742687836289406,0.025321077555418015
val,3,323405,9831,0.030398416845750686,0.02875766550438102,1.0570543996737047,0.0016407513413696645,0.025321083143353462,0.03212999552488327
val,4,323405,11597,0.03585906216663317,0.03548693632596792,1.0104862769005207,0.0003721258406652467,0.03213004022836685,0.038882914930582047
val,5,323405,13480,0.041681482970269475,0.042389093467107876,0.9833067791981096,0.0007076104968384012,0.03888295963406563,0.04598472639918327
val,6,323405,15272,0.04722252284287503,0.04981946859725482,0.9478728732461251,0.002596945754379791,0.04598472639918327,0.053823087364435196
val,7,323405,17544,0.05424776982421422,0.058252800515835604,0.9312474137525346,0.004005030691621385,0.05382309854030609,0.06296616792678833
val,8,323405,20472,0.06330143318748938,0.06848104775619573,0.9243642622533073,0.005179614568706359,0.06296619027853012,0.07457353919744492
val,9,323405,24335,0.07524620831465191,0.08259240117854376,0.9110548578432628,0.007346192863891848,0.0745735764503479,0.09231232106685638
val,10,323405,34004,0.10514370526120499,0.11543345066928014,0.9108599340276543,0.010289745408075146,0.09231247007846832,0.4974025785923004
test,1,330867,5634,0.01702799009874058,0.012838218376190707,1.3263514920668489,0.004189771722549874,0.0006282242247834802,0.018456852063536644
test,2,330866,8216,0.02483180502076369,0.022533928363220764,1.1019740819489536,0.002297876657542927,0.01845686323940754,0.026382241398096085
test,3,330867,10221,0.030891566702028306,0.0299918651627705,1.0299981856538427,0.0008997015392578044,0.026382265612483025,0.033562928438186646
test,4,330866,12425,0.03755296706219436,0.037124600035601286,1.011538630077692,0.0004283670265930739,0.03356293961405754,0.04071785509586334
test,5,330867,14357,0.04339205783592803,0.044410401041637855,0.977069713809721,0.0010183432057098221,0.04071788489818573,0.048190534114837646
test,6,330866,16396,0.04955480466412385,0.05216899686717573,0.9498899277341346,0.002614192203051882,0.048190534114837646,0.05630705505609512
test,7,330867,18392,0.05558729036138388,0.06085139138744922,0.9134925117398206,0.0052641010260653445,0.05630706623196602,0.06568019837141037
test,8,330866,21103,0.06378110775963683,0.07130179295066237,0.8945231966855375,0.007520685191025542,0.06568022072315216,0.07749812304973602
test,9,330867,24906,0.07527495942478397,0.08559563674555948,0.8794251936993632,0.010320677320775504,0.07749812304973602,0.09540131688117981
test,10,330866,34840,0.10529942635387135,0.11869194975986132,0.8871656971421747,0.013392523405989967,0.09540139138698578,0.4917384088039398
