feature,train_unique_non_null,train_null_rows,train_null_rate,val_null_rows,val_unseen_rows,val_unknown_rate,val_unseen_unique,test_null_rows,test_unseen_rows,test_unknown_rate,test_unseen_unique
user_raw,1006337,0,0.0,0,321587,0.09943782581041548,69094,0,387009,0.1169683240823716,78528
adgroup_id_raw,755976,0,0.0,0,216980,0.06709232476544123,50898,0,290089,0.08767554285489768,57543
pid_raw,2,0,0.0,0,0,0.0,0,0,0,0.0,0
cate_id_raw,6632,0,0.0,0,140,0.00004328936061923575,85,0,90,0.00002720130324466212,66
campaign_id_raw,392342,0,0.0,0,120800,0.03735253402002628,18161,0,165317,0.04996486498330898,21203
customer_raw,240339,0,0.0,0,51879,0.016041490996895225,8937,0,68801,0.020794187383733318,10594
brand_raw,95158,6204005,0.30996397995627833,1020782,15168,0.3203258080964091,2663,1066907,20873,0.32876704048309513,3082
cms_segid,97,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
cms_group_id,13,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
final_gender_code,2,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
age_level,7,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
pvalue_level,3,10949371,0.5470515599484294,1774752,0,0.5487705666979278,0,1828675,0,0.5526927023436945,0
shopping_level,3,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
occupation,2,1131737,0.0565437495269231,187641,0,0.05802042082824297,0,209148,0,0.06321220190016215,0
new_user_class_level,4,6169305,0.3082303014527177,1005251,0,0.3108333789417668,0,1050273,0,0.3174310484742336,0
hour,24,0,0.0,0,0,0.0,0,0,0,0.0,0
day_of_week,6,0,0.0,0,3234051,1.0,1,0,0,0.0,0
