feature,null_rows,null_rate,min,mean,median,p95,p99,max
log_price,36,1.7986289950485243e-6,0.00995033048093319,5.10076379776001,5.129898548126221,7.198183536529541,8.696343421936035,18.302898406982422
event_count_1d,0,0.0,0.0,58.66504302095728,27.0,223.0,427.0,3091.0
pv_count_1d,0,0.0,0.0,56.20863281963324,26.0,215.0,415.0,3063.0
cart_count_1d,0,0.0,0.0,1.1203554090894217,0.0,6.0,12.0,120.0
fav_count_1d,0,0.0,0.0,0.798140417466786,0.0,5.0,12.0,326.0
buy_count_1d,0,0.0,0.0,0.5379143747678332,0.0,3.0,7.0,166.0
event_count_3d,0,0.0,0.0,164.49620746585916,97.0,552.0,994.0,40730.0
pv_count_3d,0,0.0,0.0,157.5513360940623,92.0,534.0,969.0,40679.0
cart_count_3d,0,0.0,0.0,3.1688556897504876,1.0,13.0,25.0,226.0
fav_count_3d,0,0.0,0.0,2.2572112906936685,0.0,12.0,30.0,725.0
buy_count_3d,0,0.0,0.0,1.5188043913526914,0.0,6.0,13.0,423.0
event_count_7d,0,0.0,0.0,359.6306236071554,229.0,1137.0,1986.0,41648.0
pv_count_7d,0,0.0,0.0,344.2845551978005,217.0,1097.0,1929.0,41525.0
cart_count_7d,0,0.0,0.0,6.9709340555161825,3.0,27.0,48.0,305.0
fav_count_7d,0,0.0,0.0,4.997479771044521,0.0,25.0,61.0,1496.0
buy_count_7d,0,0.0,0.0,3.377654582794265,2.0,12.0,22.0,843.0
event_count_14d,0,0.0,0.0,661.6692672510379,438.0,2027.0,3520.0,42724.0
pv_count_14d,0,0.0,0.0,633.3407362737753,414.0,1960.0,3419.0,42511.0
cart_count_14d,0,0.0,0.0,12.905991158239631,7.0,47.0,84.0,598.0
fav_count_14d,0,0.0,0.0,9.255257829719296,1.0,46.0,107.0,1793.0
buy_count_14d,0,0.0,0.0,6.167281989303653,4.0,20.0,35.0,1473.0
days_since_last_event_14d,111371,0.005564308605765255,0.000011574074051168282,0.538905680179596,0.15622685849666595,2.33347225189209,6.1488542556762695,13.999490737915039
days_since_last_buy_14d,3014735,0.15062193842743368,0.000011574074051168282,3.283522129058838,2.2023842334747314,10.550115585327148,13.191481590270996,13.999953269958496
