split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,4923,0.015222352089942673,0.016025719991472922,0.9498700899580356,0.000803367901530249,0.0033615671563893557,0.020238352939486504
val,2,323405,7646,0.023642182402869468,0.023499559311157072,1.0060691815460847,0.00014262309171239607,0.020238369703292847,0.026706678792834282
val,3,323405,9616,0.029733615744963745,0.029743128890034196,0.9996801565462187,9.513145070451368e-6,0.026706719771027565,0.03267742693424225
val,4,323405,11323,0.03501182727539772,0.03548258954047995,0.986732584313071,0.00047076226508222657,0.03267743065953255,0.038269493728876114
val,5,323405,13268,0.04102595816391212,0.04110380589270407,0.9981060700560147,0.00007784772879194934,0.0382695347070694,0.044004544615745544
val,6,323405,15475,0.04785021876594363,0.04711104134259738,1.0156901100523519,0.0007391774233462475,0.044004570692777634,0.05035554617643356
val,7,323405,17593,0.05439928263323078,0.054043466034230214,1.0065838967244476,0.0003558165990005663,0.05035562068223953,0.05803174898028374
val,8,323405,20392,0.06305406533603376,0.06289542267705697,1.0025223243953914,0.0001586426589767903,0.058031756430864334,0.06839606165885925
val,9,323405,24692,0.07635008735177254,0.07601866539828556,1.0043597444357981,0.0003314219534869822,0.06839608401060104,0.08552225679159164
val,10,323405,34509,0.1067052148235185,0.10974222422811837,0.9723259718311621,0.0030370094045998747,0.0855223760008812,0.44485142827033997
test,1,330867,5163,0.015604457380155772,0.015821398841917904,0.9862880985474333,0.000216941461762132,0.0037881997413933277,0.019853828474879265
test,2,330866,8122,0.02454770209087667,0.022947345805380014,1.0697403655773319,0.0016003562854966548,0.01985388807952404,0.026008011773228645
test,3,330867,10086,0.03048354776994986,0.028975485219377203,1.0520461534692143,0.001508062550572658,0.026008015498518944,0.03188491612672806
test,4,330866,12260,0.0370542757490948,0.0347003766157871,1.067834973648003,0.002353899133307698,0.031884949654340744,0.03748741373419762
test,5,330867,13877,0.04194132385520466,0.04029328689471986,1.0409010306056905,0.0016480369604848014,0.03748743608593941,0.0431627482175827
test,6,330866,16058,0.048533243065168374,0.046228005913252664,1.0498666794376013,0.002305237151915711,0.0431627593934536,0.049429163336753845
test,7,330867,18546,0.05605273418019929,0.05304512392691228,1.056699089956525,0.0030076102532870103,0.04942921921610832,0.056947845965623856
test,8,330866,21733,0.0656852018641988,0.061692581947635945,1.0647179902431665,0.003992619916562849,0.05694786086678505,0.06704551726579666
test,9,330867,25420,0.07682845372914192,0.07446741887705646,1.031705608811062,0.0023610348520854557,0.06704551726579666,0.08374276757240295
test,10,330866,35225,0.10646303941777034,0.10754556979312298,0.9899342169330172,0.001082530375352636,0.08374283462762833,0.4291019141674042
