feature,gain,split,gain_fraction
user_past_ctr,1267757.2432403564,435,0.22781476193167374
user_idx,637528.9169158936,3085,0.11456333553301265
ad_past_ctr,568674.8127288818,212,0.10219031898191826
customer_idx,564409.8601455688,2693,0.10142391108908391
adgroup_idx,469212.52699279785,2141,0.0843170415331298
campaign_idx,364762.13207244873,1780,0.06554740564319529
cate_idx,317387.82402038574,1575,0.05703428787707394
brand_idx,279782.4230117798,1513,0.05027663334676064
user_past_impressions_log,251087.11557769775,431,0.04512011409474467
customer_past_ctr,163183.95614624023,119,0.029324000567730293
log1p_pv_count_14d,145686.32349395752,295,0.026179692745154585
category_past_ctr,79092.87390136719,97,0.014212913658672499
log1p_pv_count_7d,73574.22631835938,137,0.013221217975598125
log_price,64268.582038879395,171,0.011549002614609928
campaign_past_ctr,62135.39631652832,47,0.011165671184176666
log1p_pv_count_3d,53129.67108154297,127,0.00954735098812216
ad_past_impressions_log,30546.577995300293,90,0.005489190798105562
log1p_buy_count_14d,24506.200874328613,88,0.004403740816944779
days_since_last_buy_14d,24190.50196838379,73,0.004347010026027677
log1p_pv_count_1d,18009.78190612793,58,0.003236340552785171
global_past_ctr,17253.14192199707,76,0.003100373072597738
ad_has_past_feedback,16477.506866455078,50,0.0029609921962775085
brand_past_ctr,14857.546020507812,25,0.0026698867843969
pid_idx,11086.625968933105,49,0.001992256064167606
log1p_buy_count_7d,9933.359016418457,31,0.0017850150977825458
cms_group_idx,6437.000022888184,30,0.0011567227366181367
log1p_fav_count_14d,4060.759033203125,20,0.000729714507523955
user_has_past_feedback,4054.772979736328,7,0.0007286388194514002
shopping_idx,3643.200035095215,16,0.0006546795556405473
has_buy_history_14d,3352.1780319213867,15,0.0006023831805076665
cms_segid_idx,2319.305000305176,13,0.00041677688635480275
campaign_past_impressions_log,2082.1519775390625,5,0.00037416071538760143
days_since_last_event_14d,2071.754005432129,14,0.0003722922097626139
age_idx,1948.7349853515625,9,0.0003501858097225799
hour_idx,1802.0390090942383,13,0.0003238246833432288
category_past_impressions_log,1692.3990020751953,6,0.00030412247913149174
brand_is_missing,1416.4609985351562,8,0.0002545366842803421
log1p_fav_count_7d,702.9299926757812,4,0.00012631584618420945
log1p_buy_count_3d,489.7890167236328,2,0.00008801461702277025
log1p_cart_count_14d,148.50799560546875,1,0.00002668674452005918
pvalue_idx,102.83499908447266,1,0.00001847935080598975
gender_idx,0.0,0,0.0
occupation_idx,0.0,0,0.0
new_user_class_idx,0.0,0,0.0
price_is_sentinel,0.0,0,0.0
has_profile,0.0,0,0.0
has_behavior_history_14d,0.0,0,0.0
category_has_past_feedback,0.0,0,0.0
campaign_has_past_feedback,0.0,0,0.0
customer_has_past_feedback,0.0,0,0.0
brand_has_past_feedback,0.0,0,0.0
log1p_cart_count_1d,0.0,0,0.0
log1p_fav_count_1d,0.0,0,0.0
log1p_buy_count_1d,0.0,0,0.0
log1p_cart_count_3d,0.0,0,0.0
log1p_fav_count_3d,0.0,0,0.0
log1p_cart_count_7d,0.0,0,0.0
customer_past_impressions_log,0.0,0,0.0
brand_past_impressions_log,0.0,0,0.0
