split,prediction_decile,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,1,323406,0.02678057921003321,0.034906622,0.124329306,0.7672062679927946,30.34304354893407
val,2,323405,0.031851702973052363,0.04291787,0.14272493,0.7421547943574038,34.742779754707634
val,3,323405,0.03639090304726272,0.047526687,0.15777342,0.7656940773823107,30.600461664626486
val,4,323405,0.03950773797560334,0.051413458,0.16793784,0.7684318393450422,30.135159528570597
val,5,323405,0.04353364975804332,0.055089567,0.18038082,0.7902340178376234,26.54479273574872
val,6,323405,0.04853975665187613,0.05886803,0.19520572,0.8245521060698132,21.277963228600605
val,7,323405,0.05311915400194802,0.063066095,0.20845866,0.8422775170420074,18.72571447851272
val,8,323405,0.05940229742892039,0.06815862,0.2259162,0.8715302365016909,14.740712154059587
val,9,323405,0.06727787139963823,0.075418025,0.24696293,0.8920662026349806,12.09930350978492
val,10,323405,0.0865911164020346,0.0945634,0.29369313,0.9156937499602799,9.20681724030301
test,1,330867,0.027944763303683957,0.029668268,0.12738572,0.9419074776022484,6.167540207413369
test,2,330866,0.033258177026349034,0.03650587,0.14601709,0.9110364046011393,9.765097744673534
test,3,330867,0.038051543369390116,0.04043025,0.16175748,0.9411651411806224,6.2512789993022455
test,4,330866,0.04111936554375487,0.043758005,0.17155911,0.9396992763760643,6.417023524428411
test,5,330867,0.045683008580487024,0.04692162,0.18559699,0.9736025792025571,2.711313770251511
test,6,330866,0.04988726553952355,0.050174285,0.19816956,0.9942795559832498,0.5753355766319856
test,7,330867,0.05474707359754826,0.053793643,0.21224745,1.0177238588113928,-1.7415194365289377
test,8,330866,0.06038698445896526,0.05819598,0.2280432,1.037648753676722,-3.6282753237374843
test,9,330867,0.06776741107454053,0.0644699,0.2478636,1.0511480113573122,-4.8659190527570395
test,10,330866,0.08434834646050063,0.08031574,0.28829303,1.050209430909939,-4.780896974657301
