split,prediction_decile,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,1,323406,0.026792947564361822,0.029224923,0.123413295,0.9167842007279097,9.076923359501453
val,2,323405,0.03183624248233639,0.03598308,0.1412957,0.8847559489362649,13.02551864186865
val,3,323405,0.03636925836026036,0.039881695,0.15638284,0.9119286004216182,9.65770780055184
val,4,323405,0.039551027349608074,0.043175366,0.16666436,0.9160554088867732,9.163702358926052
val,5,323405,0.04350272877661137,0.046294987,0.17899436,0.9396855125390913,6.418582244386761
val,6,323405,0.048428441118721105,0.049505528,0.19387077,0.9782430975688348,2.2240793198782915
val,7,323405,0.0532582984183918,0.053079113,0.20798248,1.003375810988827,-0.336445323063983
val,8,323405,0.059383744840061224,0.057419613,0.22526817,1.0342066366104354,-3.3075243766125917
val,9,323405,0.06736445014764769,0.06361992,0.24680784,1.0588578400932083,-5.5586158844540545
val,10,323405,0.08650762975216833,0.08006119,0.29338014,1.0805189122910732,-7.451874407301695
test,1,330867,0.027944763303683957,0.029544856,0.12737532,0.9458419064899638,5.725913933229898
test,2,330866,0.03327328888432175,0.036362845,0.14605154,0.9150353464359149,9.285395793181594
test,3,330867,0.03804852100693028,0.040276833,0.16173811,0.9446750970123106,5.8565006278522125
test,4,330866,0.04112238791534942,0.043597464,0.17155676,0.9432289082141628,6.0188032079427245
test,5,330867,0.04566487440572798,0.046755772,0.18553436,0.9766681710161919,2.3889207897020093
test,6,330866,0.049772415418930925,0.050002735,0.19783305,0.9953938581817953,0.4627456539282315
test,7,330867,0.05481054320920491,0.053616654,0.21243875,1.0222671313753025,-2.1782106351541763
test,8,330866,0.06048974509317972,0.058010045,0.22833605,1.0427460388180891,-4.099371968513066
test,9,330867,0.06763744948876739,0.06426541,0.24752918,1.0524705590719672,-4.985465732954464
test,10,330866,0.08442995049355329,0.08007222,0.2885162,1.0544225448492344,-5.161360131674342
