split,hour,rows,actual_ctr,mean_prediction,logloss,copc,prediction_bias_pct
val,0,92151,0.05227289991427114,0.04947297,0.20234254,1.056595165886682,-5.356371836055851
val,1,46304,0.051723393227366965,0.048560478,0.20098716,1.065133531997333,-6.115057881540443
val,2,25558,0.051334220205023866,0.047667414,0.1994554,1.07692479937985,-7.143005660576063
val,3,17505,0.051813767495001425,0.049096894,0.20061576,1.0553369832813937,-5.243536818858807
val,4,16362,0.05054394328321721,0.050139714,0.19720443,1.0080620573652321,-0.7997580413158123
val,5,35642,0.04834184389203748,0.04819264,0.19063827,1.0030960119963312,-0.30864562906294246
val,6,82208,0.04852325807707279,0.04725476,0.19115882,1.0268438198317882,-2.614206689794907
val,7,107089,0.047044981277255364,0.04670356,0.18693449,1.00731042502256,-0.7257370559225707
val,8,126752,0.05112345367331482,0.049075507,0.19896786,1.0417305329376891,-4.00588555468453
val,9,152934,0.04967502321262767,0.051128004,0.19456136,0.971581512533639,2.924972027540207
val,10,179546,0.048494536219130475,0.050987802,0.19129768,0.9511007317994523,5.141334305151024
val,11,170883,0.046868325111333486,0.049209736,0.18598232,0.9524197576963922,4.995721888286897
val,12,188728,0.042230087745326605,0.049047567,0.17209478,0.8610027035204455,16.143653894607525
val,13,193125,0.04311715210355987,0.049116716,0.174888,0.8778508784855601,13.914563909210598
val,14,181290,0.04997517789177561,0.051327284,0.19577283,0.9736571581985003,2.705556219628713
val,15,181123,0.04968998967552437,0.05051569,0.19455917,0.9836545972681436,1.6617014526493001
val,16,171027,0.050722985259637365,0.04997898,0.19789496,1.0148863851089722,-1.4668031148505123
val,17,157082,0.050610509160820466,0.04891803,0.19740368,1.0345982445482704,-3.3441236470855285
val,18,142538,0.05041462627509857,0.050015353,0.19651477,1.0079830209612608,-0.7919797055359057
val,19,153422,0.051720092294455816,0.05051592,0.20010161,1.0238374827676167,-2.3282486887645226
val,20,182957,0.050667643216712126,0.05071281,0.19747557,0.9991093818140847,0.08914120937371095
val,21,220350,0.05162695711368278,0.05092221,0.2004343,1.0138396553615172,-1.3650733908787682
val,22,230490,0.05080046856696603,0.049849708,0.19765428,1.01907254784128,-1.8715593783466988
val,23,178985,0.05127804005922284,0.049865384,0.19925085,1.0283294000938281,-2.754895473302943
test,0,105822,0.05281510460962749,0.049731955,0.20396331,1.0619953444745365,-5.8376286484769
test,1,52139,0.052743627610809564,0.048807807,0.20397241,1.0806391551783905,-7.462172251668841
test,2,28347,0.05048153243729495,0.04788202,0.19649073,1.0542899388561617,-5.149431561024187
test,3,18823,0.04972639855495936,0.049003076,0.19488381,1.0147607621509827,-1.4546051346816413
test,4,16998,0.04988822214378162,0.049804647,0.19582406,1.001678068770919,-0.16752575735017317
test,5,36329,0.048583776046684464,0.047795475,0.19208062,1.016493225042371,-1.622561236616571
test,6,83646,0.04805968008033857,0.047285493,0.19039783,1.0163726031042055,-1.6108859146931276
test,7,118056,0.04757064443992681,0.04692201,0.18819952,1.013823683371953,-1.3635194756918434
test,8,133690,0.049420300695639165,0.04919021,0.19371738,1.0046776053134892,-0.4655827191479722
test,9,149624,0.049938512538095496,0.051301077,0.19538067,0.973439846693027,2.728484291782718
test,10,172074,0.04978671966711996,0.051218204,0.19490817,0.9720512549102541,2.8752336822327695
test,11,176967,0.04807676007391209,0.050533537,0.19023235,0.9513832416605881,5.110112960845736
test,12,175494,0.04981936704388754,0.051301077,0.19517559,0.9711173711982377,2.9741645714899345
test,13,188439,0.0522609438598167,0.05127236,0.2023609,1.0192810539376655,-1.8916327212381012
test,14,180876,0.050227780357814195,0.05137625,0.1966379,0.9776459104861305,2.286522070424657
test,15,185003,0.05157213666805403,0.05084647,0.20060706,1.0142717484608503,-1.4070931663538566
test,16,181342,0.05069978273097241,0.04996388,0.19752441,1.0147286879198132,-1.4514902451419731
test,17,167899,0.050041989529419476,0.049268525,0.19640532,1.0156989565681769,-1.5456308649976602
test,18,152309,0.04955715026689165,0.050451905,0.19470304,0.9822652033328889,1.8054998392425858
test,19,155474,0.05009840873715219,0.05055644,0.1961235,0.9909402012868213,0.914262909246566
test,20,184791,0.051041446823708946,0.050913855,0.19864461,1.002506024915195,-0.24997604532172035
test,21,226556,0.05092780592877699,0.051077615,0.19834493,0.9970670216387444,0.29416060280833545
test,22,238936,0.05045702614926173,0.049965456,0.19726056,1.0098381974114443,-0.9742350246468079
test,23,179031,0.0514156766146645,0.04987213,0.1997258,1.0309500808224241,-3.0020930594170214
