split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,8441,0.026100319721959395,0.03146070672520013,0.8296164466341424,0.005360387003240732,0.012185921892523766,0.03558094799518585
val,2,323405,10679,0.033020516071180096,0.037802312251037175,0.8735051933304455,0.0047817961798570785,0.035580966621637344,0.039768509566783905
val,3,323405,11781,0.03642800822498106,0.04143807932489596,0.8790949971249065,0.005010071099914901,0.0397685207426548,0.04302578419446945
val,4,323405,13055,0.04036734125941158,0.04449215357472736,0.9072912416256069,0.004124812315315786,0.04302579164505005,0.04593175649642944
val,5,323405,14048,0.04343779471560427,0.047353098502207,0.9173168407043047,0.003915303786602729,0.04593175649642944,0.048778776079416275
val,6,323405,15597,0.04822745473941343,0.05027856775282094,0.9592050230330511,0.0020511130134075115,0.04877880960702896,0.05183175578713417
val,7,323405,17103,0.0528841545430652,0.05354996598032872,0.9875665385575015,0.0006658114372635193,0.05183178186416626,0.05539996549487114
val,8,323405,19250,0.059522889256505,0.05762514565095949,1.032932560674819,0.00189774360554551,0.05539996549487114,0.06012203171849251
val,9,323405,21912,0.06775405451369026,0.06360612268405007,1.0652127759813967,0.004147931829640197,0.0601220466196537,0.0679273009300232
val,10,323405,27571,0.08525223790603113,0.07991416183559652,1.066797623197455,0.005338076070434614,0.06792731583118439,0.20279023051261902
test,1,330867,8908,0.026923204792257915,0.03170101290660151,0.8492853168944438,0.004777808114343595,0.012083400040864944,0.0359237976372242
test,2,330866,11471,0.03466962456100053,0.03817304525540749,0.9082226563019444,0.0035034206944069626,0.0359237976372242,0.04016575217247009
test,3,330867,12685,0.038338667803074954,0.0418457595041291,0.9161900335275767,0.003507091701054149,0.04016575217247009,0.04343953728675842
test,4,330866,13703,0.04141555796002007,0.044924213457054885,0.9218983432978988,0.0035086554970348155,0.04343954473733902,0.046378858387470245
test,5,330867,15046,0.04547446557075804,0.04782215864170727,0.9509078398459887,0.0023476930709492305,0.046378880739212036,0.04928400740027428
test,6,330866,16531,0.049962824829387124,0.050820813220713926,0.9831173816994905,0.0008579883913268013,0.04928402230143547,0.05240583047270775
test,7,330867,18010,0.054432747901724865,0.0541692395444693,1.0048645386103168,0.000263508357255568,0.05240583047270775,0.05605675280094147
test,8,330866,20120,0.060810116482201255,0.05828472099143776,1.0433286022100798,0.002525395490763492,0.05605675280094147,0.06078687310218811
test,9,330867,22254,0.06725965418128735,0.06425872583665324,1.0467007134916202,0.003000928344634113,0.060786888003349304,0.06860024482011795
test,10,330866,27762,0.08390708020769738,0.07987369899815189,1.0504969878712993,0.004033381209545495,0.06860027462244034,0.1824384182691574
