split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,4937,0.015265641330092825,0.01405396134456154,1.0862162600155556,0.0012116799855312853,0.0026473389007151127,0.018095649778842926
val,2,323405,7699,0.023806063604458805,0.02112147501954472,1.127102325118388,0.002684588584914084,0.018095649778842926,0.023990647867321968
val,3,323405,9404,0.02907809093860639,0.026682551765417565,1.089779238292104,0.0023955391731888265,0.023990651592612267,0.02931615710258484
val,4,323405,11365,0.035141695397411916,0.03188058883698165,1.1022912900732675,0.0032611065604302644,0.02931615710258484,0.034440718591213226
val,5,323405,13161,0.04069510366259025,0.03703745144923514,1.098755504772471,0.0036576522133551087,0.03444072604179382,0.039684634655714035
val,6,323405,15391,0.047590482521915244,0.04249768908922064,1.1198369497692608,0.005092793432694601,0.03968464583158493,0.0454350970685482
val,7,323405,17626,0.054501321871956214,0.0487222821582219,1.1186118436523012,0.005779039713734314,0.04543511942028999,0.05225859954953194
val,8,323405,20596,0.06368485335724555,0.05653901354639083,1.1263877694822442,0.007145839810854725,0.052258625626564026,0.06137463077902794
val,9,323405,24638,0.07618311405204001,0.06810605161748906,1.118595370642171,0.008077062434550947,0.06137463077902794,0.07658836245536804
val,10,323405,34620,0.10704843771741315,0.10184111903790605,1.0511317896808352,0.005207318679507106,0.07658841460943222,0.84629225730896
test,1,330867,5205,0.015731396603469068,0.014857176421661747,1.0588416100742204,0.0008742201818073211,0.002650586422532797,0.019123941659927368
test,2,330866,8147,0.02462326138074024,0.022373321191715877,1.100563531437498,0.002249940189024361,0.019123947247862816,0.025474822148680687
test,3,330867,10074,0.030447279420431773,0.028367838146594108,1.0733027755972067,0.0020794412738376657,0.025474851951003075,0.031211163848638535
test,4,330866,11916,0.036014579920572075,0.0339933803446074,1.0594586226928535,0.002021199575964673,0.031211186200380325,0.036766983568668365
test,5,330867,13983,0.04226169427594774,0.039570075706469705,1.0680215673440816,0.002691618569478034,0.03676701709628105,0.042422935366630554
test,6,330866,16134,0.04876294330635363,0.0454326760737261,1.073301146232798,0.003330267232627533,0.04242294281721115,0.04857761040329933
test,7,330867,18249,0.055155092529626706,0.05209329971257118,1.0587751751942995,0.003061792817055528,0.048577625304460526,0.055874962359666824
test,8,330866,21625,0.06535878573198818,0.06042113730597261,1.0817205475794227,0.004937648426015573,0.055874962359666824,0.06553079187870026
test,9,330867,25575,0.07729691991041718,0.07268875161505177,1.0633958926653404,0.0046081682953654085,0.06553080677986145,0.08169406652450562
test,10,330866,35582,0.10754202607702212,0.10882511994881362,0.988209579990401,0.0012830938717914991,0.08169406652450562,0.8537981510162354
