split,entity,rows,history_coverage,median_past_impressions_all,p90_past_impressions_all,p99_past_impressions_all,max_past_impressions,median_past_impressions_if_present,p90_past_impressions_if_present,below_smoothing_strength_rate
train,user,20015245,0.6637187803596708,9.0,185.0,645.0,2237,30.0,260.0,0.832354687639347
train,ad,20015245,0.7761161054985837,40.0,800.0,6429.0,52781,82.0,1096.0,0.6420858700455577
train,category,20015245,0.8365229104115388,33811.0,597011.0,1817112.0,1817112,67580.0,709235.0,0.17410144117646323
train,campaign,20015245,0.8023257272144309,75.0,1888.0,21452.0,93082,145.0,2542.0,0.5423075260882393
train,customer,20015245,0.8183343246610272,154.0,4378.0,75391.0,165233,287.0,5685.0,0.4392302467444191
train,brand,20015245,0.5713591315020126,44.0,5422.0,97960.0,145791,506.0,14163.0,0.5568643801262487
val,user,3234051,0.9005621741895845,40.0,424.0,1107.0,2648,49.0,454.0,0.6892714431528755
val,ad,3234051,0.9329076752345588,135.0,1770.0,10783.0,60642,161.0,1931.0,0.44148778111415066
val,category,3234051,0.9999567106393807,187493.0,2180771.0,2180771.0,2180771,187493.0,2180771.0,0.004546001284457171
val,campaign,3234051,0.9626474659799737,264.0,4442.0,35420.0,108547,293.0,4773.0,0.3225524272808314
val,customer,3234051,0.9839585090031048,569.0,11161.0,169236.0,192039,597.0,11311.0,0.21116983003669393
val,brand,3234051,0.6796741919035909,299.0,16234.0,157946.0,176363,1082.0,28687.0,0.402981276423903
test,user,3308665,0.9059650946832031,45.0,487.0,1258.0,3033,55.0,521.0,0.666200113943237
test,ad,3308665,0.9721966412435227,175.0,2220.0,12932.0,65607,189.0,2293.0,0.3896635047670284
test,category,3308665,0.9999800523776206,232632.0,2534757.0,2534757.0,2534757,232632.0,2534757.0,0.00371086223597735
test,campaign,3308665,0.9868484721179086,336.0,5867.0,57444.0,118448,347.0,5936.0,0.27946951413938853
test,customer,3308665,0.9937304018388081,711.0,14102.0,217541.0,217541,722.0,14293.0,0.1811718623674503
test,brand,3308665,0.6757133163980035,347.0,19088.0,180997.0,202000,1298.0,31992.0,0.3955565159966331
