run_name,model,learning_rate,weight_decay,embedding_dim,hidden_dims,dropout,best_epoch,parameter_count,training_minutes,val_auc,val_log_loss,val_pr_auc,val_mean_prediction
deepfm_f123_compact,deepfm,0.0005,1e-05,8,128-64,0.3,1,22503138,1.5366130562499165,0.650197953639609,0.18979385264651563,0.08765478361031248,0.05143958702683449
deepfm_f123_lr2em4,deepfm,0.0002,1e-06,16,256-128,0.2,1,42558410,2.0450022812486472,0.6491007733635108,0.18997422277593784,0.08727560383982032,0.0518723763525486
deepfm_f123_regularized,deepfm,0.0005,1e-05,16,256-128,0.3,1,42558410,2.050642379167645,0.6504303562695362,0.1900423810559853,0.0875703991612141,0.05485781282186508
deepfm_f123_lr5em4,deepfm,0.0005,1e-06,16,256-128,0.2,1,42558410,2.057625279168133,0.6502801029161702,0.1900486328497327,0.08755453858294235,0.05478683114051819
deepfm_f123_lr1em3,deepfm,0.001,1e-06,16,256-128,0.2,1,42558410,2.0465128152670027,0.6476067810859246,0.1906629513585045,0.08574886915150638,0.056964077055454254
wide_deep_f123_compact,wide_deep,0.0005,1e-05,8,128-64,0.3,1,22503138,1.5145672006842992,0.6504518822769149,0.18978685366272185,0.08771812838306567,0.0514160580933094
wide_deep_f123_lr2em4,wide_deep,0.0002,1e-06,16,256-128,0.2,1,42558410,1.9471576375013684,0.649485154887441,0.1899328575931571,0.0872454196550804,0.05158017575740814
wide_deep_f123_lr5em4,wide_deep,0.0005,1e-06,16,256-128,0.2,1,42558410,1.915274005550115,0.6502017060505869,0.19007177610560133,0.08754100330406506,0.05510871484875679
wide_deep_f123_regularized,wide_deep,0.0005,1e-05,16,256-128,0.3,1,42558410,1.9043888187482176,0.6501046246616099,0.190107829105134,0.08737659241935586,0.055297620594501495
wide_deep_f123_lr1em3,wide_deep,0.001,1e-06,16,256-128,0.2,1,42558410,1.9130373062488313,0.6497442091906578,0.19027239050221423,0.08697690335695488,0.05609748885035515
