split,prediction_bin,rows,clicks,actual_ctr,mean_prediction,copc,absolute_calibration_error,min_prediction,max_prediction
val,1,323406,5164,0.015967545438241713,0.012213843549012577,1.3073317481238413,0.0037537018892291364,0.0004713859234470874,0.017634909600019455
val,2,323405,7746,0.023951392217188974,0.021526654413363117,1.1126388595861254,0.0024247378038258563,0.0176349189132452,0.025189470499753952
val,3,323405,9790,0.030271640821879685,0.02863522614021883,1.0571469096715975,0.0016364146816608555,0.02518947795033455,0.03201880306005478
val,4,323405,11543,0.03569208886690064,0.03539649584608211,1.0083509119689102,0.00029559302081853117,0.03201881796121597,0.03881837800145149
val,5,323405,13507,0.04176496962013574,0.04236866552199268,0.985751359066441,0.0006036959018569377,0.03881837800145149,0.04600808769464493
val,6,323405,15315,0.04735548306303242,0.04990201672534421,0.9489693236983255,0.0025465336623117854,0.04600811004638672,0.05396097153425217
val,7,323405,17586,0.054377637946228415,0.058459653053880505,0.9301738054468127,0.00408201510765209,0.053961001336574554,0.06326139718294144
val,8,323405,20412,0.06311590729889767,0.06884325147656525,0.9168060186753786,0.005727344177667584,0.06326144188642502,0.07501041144132614
val,9,323405,24349,0.07528949768865664,0.08306228436517081,0.9064221898552383,0.007772786676514168,0.0750105157494545,0.09276223182678223
val,10,323405,34025,0.10520863932221208,0.11491671935364539,0.9155207346151468,0.009708080031433308,0.09276223182678223,0.41136905550956726
test,1,330867,5611,0.016958475762164252,0.012717390092703248,1.3334871100552603,0.004241085669461004,0.0006651100120507181,0.01830277033150196
test,2,330866,8272,0.02500105783005809,0.022363667204529498,1.1179319385057929,0.0026373906255285906,0.01830277405679226,0.026207633316516876
test,3,330867,10191,0.030800895828233095,0.029827506728697873,1.0326339411600467,0.0009733890995352219,0.026207664981484413,0.03341177850961685
test,4,330866,12421,0.037540877575816194,0.03700100644360471,1.0145907147967537,0.0005398711322114821,0.03341178596019745,0.04062320664525032
test,5,330867,14286,0.04317747010127937,0.04437842674938751,0.9729382779860551,0.0012009566481081396,0.04062321409583092,0.048208702355623245
test,6,330866,16347,0.049406708455991245,0.052251653430490014,0.9455530153072883,0.0028449449744987684,0.04820878431200981,0.05644682049751282
test,7,330867,18406,0.05562960343582164,0.061063944382018606,0.9110057333964623,0.005434340946196964,0.0564468577504158,0.06596402078866959
test,8,330866,21036,0.06357860886280246,0.07165036681459942,0.8873451970918276,0.00807175795179696,0.06596402078866959,0.07790259271860123
test,9,330867,25065,0.07575551505589859,0.08600802373612033,0.8807959044416915,0.010252508680221747,0.07790262252092361,0.09577345848083496
test,10,330866,34855,0.1053447619277895,0.11795901661169723,0.8930623953450553,0.012614254683907741,0.09577354043722153,0.4108172059059143
